2025-04-26 19:48:43,774 - INFO - Loading model and encoder...
2025-04-26 19:48:43,860 - INFO - Processing text: Okay, here are 5 blog titles, outlines, and a rich text editor representation based on the "movie" n...
2025-04-26 19:48:43,976 - INFO - Extracted keywords: []
2025-04-26 19:50:10,656 - INFO - Loading model and encoder...
2025-04-26 19:50:11,606 - INFO - Processing text: Okay, here are 5 blog titles and their outlines, formatted for a rich text editor, based on the "mov...
2025-04-26 19:50:11,663 - INFO - Extracted keywords: []
2025-04-26 19:50:16,549 - INFO - Loading model and encoder...
2025-04-26 19:50:17,307 - INFO - Processing text: Okay, here are 5 blog titles and their outlines, formatted for a rich text editor, based on the "mov...
2025-04-26 19:50:17,360 - INFO - Extracted keywords: []
2025-04-26 20:10:31,516 - INFO - Loading model and encoder...
2025-04-26 20:10:32,427 - INFO - Processing text: Okay, here are 5 blog titles tailored to a "movie" niche with a "general" audience, along with blog ...
2025-04-26 20:10:32,484 - INFO - Extracted keywords: []
2025-04-26 20:11:29,228 - INFO - Loading model and encoder...
2025-04-26 20:11:30,146 - INFO - Processing text: Okay, here are 5 blog titles and corresponding outlines geared towards a "movie" niche with a "tech"...
2025-04-26 20:11:30,201 - INFO - Extracted keywords: []
2025-04-26 20:11:58,681 - INFO - Loading model and encoder...
2025-04-26 20:11:59,587 - INFO - Processing text: Alright, here are 5 blog titles and outlines designed for a "movie" niche, targeting a "marketing" a...
2025-04-26 20:11:59,643 - INFO - Extracted keywords: []
2025-04-26 20:15:04,464 - INFO - Loading model and encoder...
2025-04-26 20:15:05,439 - INFO - Processing text: Okay, here are 5 blog titles and corresponding outlines, tailored for a general audience interested ...
2025-04-26 20:15:05,493 - INFO - Extracted keywords: []
2025-04-28 11:29:26,525 - INFO - Loading model and encoder...
2025-04-28 11:29:27,118 - INFO - Processing text: Okay, here are 5 blog titles and outlines for each, formatted as you might see in a rich text editor...
2025-04-28 11:29:27,127 - INFO - Extracted keywords: ['ai', 'business', 'career', 'content marketing', 'content_marketing', 'enthusiasts', 'finance', 'fitness', 'gadgets', 'innovation', 'instagram', 'marketing', 'marketing strategy', 'personal_branding', 'productivity', 'small_business', 'social_media', 'strategy', 'technology', 'viral_content']
2025-04-28 11:29:27,128 - INFO - Keyword: AI, Probability: 0.150
2025-04-28 11:29:27,128 - INFO - Keyword: Canva, Probability: 0.125
2025-04-28 11:29:27,128 - INFO - Keyword: ML, Probability: 0.150
2025-04-28 11:29:27,128 - INFO - Keyword: NFTs, Probability: 0.144
2025-04-28 11:29:27,128 - INFO - Keyword: SEO, Probability: 0.148
2025-04-28 11:29:27,128 - INFO - Keyword: TikTok, Probability: 0.126
2025-04-28 11:29:27,128 - INFO - Keyword: UI/UX, Probability: 0.142
2025-04-28 11:29:27,128 - INFO - Keyword: WordPress, Probability: 0.140
2025-04-28 11:29:27,128 - INFO - Keyword: YouTube optimization, Probability: 0.148
2025-04-28 11:29:27,128 - INFO - Keyword: adventure, Probability: 0.155
2025-04-28 11:29:27,128 - INFO - Keyword: affordable, Probability: 0.130
2025-04-28 11:29:27,128 - INFO - Keyword: ai, Probability: 0.206
2025-04-28 11:29:27,128 - INFO - Keyword: app interface, Probability: 0.142
2025-04-28 11:29:27,128 - INFO - Keyword: apps, Probability: 0.134
2025-04-28 11:29:27,128 - INFO - Keyword: art market, Probability: 0.144
2025-04-28 11:29:27,128 - INFO - Keyword: awareness, Probability: 0.138
2025-04-28 11:29:27,128 - INFO - Keyword: basics, Probability: 0.169
2025-04-28 11:29:27,128 - INFO - Keyword: beauty, Probability: 0.135
2025-04-28 11:29:27,128 - INFO - Keyword: beauty_routine, Probability: 0.133
2025-04-28 11:29:27,128 - INFO - Keyword: belly_fat, Probability: 0.134
2025-04-28 11:29:27,128 - INFO - Keyword: blockchain, Probability: 0.161
2025-04-28 11:29:27,128 - INFO - Keyword: blogging, Probability: 0.140
2025-04-28 11:29:27,128 - INFO - Keyword: branding, Probability: 0.162
2025-04-28 11:29:27,128 - INFO - Keyword: budget_travel, Probability: 0.134
2025-04-28 11:29:27,128 - INFO - Keyword: budgeting, Probability: 0.135
2025-04-28 11:29:27,128 - INFO - Keyword: business, Probability: 0.638
2025-04-28 11:29:27,128 - INFO - Keyword: business growth, Probability: 0.162
2025-04-28 11:29:27,128 - INFO - Keyword: business tips, Probability: 0.167
2025-04-28 11:29:27,128 - INFO - Keyword: business_growth, Probability: 0.173
2025-04-28 11:29:27,128 - INFO - Keyword: buying home, Probability: 0.132
2025-04-28 11:29:27,128 - INFO - Keyword: career, Probability: 0.238
2025-04-28 11:29:27,128 - INFO - Keyword: career growth, Probability: 0.129
2025-04-28 11:29:27,128 - INFO - Keyword: career options, Probability: 0.129
2025-04-28 11:29:27,128 - INFO - Keyword: career_tips, Probability: 0.137
2025-04-28 11:29:27,128 - INFO - Keyword: coding practices, Probability: 0.134
2025-04-28 11:29:27,128 - INFO - Keyword: collaboration, Probability: 0.147
2025-04-28 11:29:27,128 - INFO - Keyword: communication, Probability: 0.140
2025-04-28 11:29:27,128 - INFO - Keyword: confidence, Probability: 0.140
2025-04-28 11:29:27,128 - INFO - Keyword: content creation, Probability: 0.195
2025-04-28 11:29:27,128 - INFO - Keyword: content marketing, Probability: 0.686
2025-04-28 11:29:27,128 - INFO - Keyword: content_creation, Probability: 0.140
2025-04-28 11:29:27,128 - INFO - Keyword: content_marketing, Probability: 0.510
2025-04-28 11:29:27,128 - INFO - Keyword: creative_industries, Probability: 0.155
2025-04-28 11:29:27,128 - INFO - Keyword: creativity, Probability: 0.139
2025-04-28 11:29:27,128 - INFO - Keyword: crypto, Probability: 0.144
2025-04-28 11:29:27,128 - INFO - Keyword: crypto basics, Probability: 0.136
2025-04-28 11:29:27,128 - INFO - Keyword: cryptocurrency, Probability: 0.136
2025-04-28 11:29:27,128 - INFO - Keyword: cybersecurity, Probability: 0.129
2025-04-28 11:29:27,128 - INFO - Keyword: cybersecurity threats, Probability: 0.133
2025-04-28 11:29:27,128 - INFO - Keyword: data science, Probability: 0.135
2025-04-28 11:29:27,128 - INFO - Keyword: design tools, Probability: 0.125
2025-04-28 11:29:27,128 - INFO - Keyword: destinations, Probability: 0.135
2025-04-28 11:29:27,128 - INFO - Keyword: development, Probability: 0.134
2025-04-28 11:29:27,128 - INFO - Keyword: digital marketing, Probability: 0.174
2025-04-28 11:29:27,128 - INFO - Keyword: digital_marketing, Probability: 0.177
2025-04-28 11:29:27,128 - INFO - Keyword: digital_nomad, Probability: 0.137
2025-04-28 11:29:27,128 - INFO - Keyword: dogs, Probability: 0.138
2025-04-28 11:29:27,128 - INFO - Keyword: e-commerce, Probability: 0.156
2025-04-28 11:29:27,128 - INFO - Keyword: eBook writing, Probability: 0.147
2025-04-28 11:29:27,128 - INFO - Keyword: eco_friendly, Probability: 0.132
2025-04-28 11:29:27,128 - INFO - Keyword: education, Probability: 0.137
2025-04-28 11:29:27,128 - INFO - Keyword: electric_cars, Probability: 0.157
2025-04-28 11:29:27,128 - INFO - Keyword: email marketing, Probability: 0.174
2025-04-28 11:29:27,128 - INFO - Keyword: email_marketing, Probability: 0.173
2025-04-28 11:29:27,128 - INFO - Keyword: engagement, Probability: 0.140
2025-04-28 11:29:27,128 - INFO - Keyword: engineering, Probability: 0.129
2025-04-28 11:29:27,128 - INFO - Keyword: enthusiasts, Probability: 0.411
2025-04-28 11:29:27,128 - INFO - Keyword: entrepreneurship, Probability: 0.194
2025-04-28 11:29:27,128 - INFO - Keyword: equipment, Probability: 0.130
2025-04-28 11:29:27,128 - INFO - Keyword: europe, Probability: 0.135
2025-04-28 11:29:27,128 - INFO - Keyword: exercise, Probability: 0.143
2025-04-28 11:29:27,128 - INFO - Keyword: exercises, Probability: 0.134
2025-04-28 11:29:27,128 - INFO - Keyword: extra income, Probability: 0.131
2025-04-28 11:29:27,128 - INFO - Keyword: finance, Probability: 0.220
2025-04-28 11:29:27,128 - INFO - Keyword: financial planning, Probability: 0.128
2025-04-28 11:29:27,128 - INFO - Keyword: fitness, Probability: 0.218
